年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,医療・福祉,47.5
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,買物・飲食,43.7
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,住宅環境,
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,移動・交通,36.9
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,遊び・娯楽,56.2
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,子育て,51.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,初等・中等教育,60.9
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,地域行政,42.3
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,デジタル生活,38.7
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,公共空間,39.5
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,都市景観,35.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,事故・犯罪,60.1
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,自然景観,41.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,自然の恵み,63.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,環境共生,57.5
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,自然災害,47.2
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,地域とのつながり,56.4
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,多様性と寛容性,40.5
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,自己効力感,80.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,健康状態,55.9
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,文化・芸術,45.9
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,教育機会の豊かさ,44.9
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,雇用・所得,46.9
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,事業創造,52.9
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,医療施設徒歩圏人口カバー率,20.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,医療施設徒歩圏平均人口密度,61.3
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,人口あたり国民健康保険者医療費,20.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,人口あたり後期高齢医療費,43.2
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,特定健診実施率,74.8
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,福祉施設徒歩圏人口カバー率,27.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,福祉施設徒歩圏平均人口密度,61.4
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,人口あたり児童福祉施設数,57.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,人口あたり障害者施設数,
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,人口あたり認知症サポーターメイト・サポーター数,62.3
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,商業施設徒歩圏人口カバー率,20.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,商業施設徒歩圏平均人口密度,63.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,可住地面積あたり飲食店数,45.3
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,人口あたり飲食店数,46.7
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,住宅当たり延べ面積,
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,平均価格（住宅地）,
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,専用住宅面積あたり家賃,
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,一戸建の持ち家の割合,
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,駅・バス停留所徒歩圏人口カバー率,20.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,駅・バス停徒歩圏人口密度,61.2
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,人口あたり小型車走行キロ,30.1
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,通勤通学に自家用車等を用いない割合,36.1
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,職場までの平均通勤時間,
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,人口あたり娯楽業事業所数,56.2
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,保育所への距離1kmの住宅割合,
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,可住地面積あたり幼稚園数,39.2
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,一施設当たり幼稚園児数,
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,人口あたり待機児童数,51.9
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,歳出総額の教育費割合,64.9
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,合計特殊出生率,47.9
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,可住地面積あたり小学校数,40.4
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,可住地面積あたり中学校数,41.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,可住地面積あたり高等学校数,45.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,一施設当たり小学生数,78.1
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,一施設当たり中学生数,80.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,一施設当たり高校生数,80.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,人口あたり体育施設利用者数,39.3
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,人口あたり図書館帯出者数,32.2
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,人口あたり博物館入館者数,45.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,財政指数,52.2
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,自治体DX指数,20.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,デジタル政策指数,38.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,デジタル生活指数,58.2
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,公園緑地徒歩圏人口カバー率,20.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,人口あたり公園面積,80.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,歩道設置率,20.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,ウォーカブル指数,38.1
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,都市景観指数,35.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,自然景観指数,41.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,食料供給ポテンシャル,41.4
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,水供給ポテンシャル,56.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,木材供給ポテンシャル,70.7
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,炭素吸収量,72.3
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,蒸発散量,63.1
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,地下水涵養量,61.2
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,土壌流出防止量,73.5
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,窒素除去量,67.7
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,リン酸除去量,69.9
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,NO2吸収量,61.1
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,SO2吸収量,63.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,洪水調整量,65.2
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,"表層崩壊への安全性",69.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,緑地へのアクセス度,74.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,水域へのアクセス度,39.7
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,オートキャンプ場への立地,67.7
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,NOx濃度,65.8
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,PM2.5濃度,56.8
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,ゴミのリサイクル率,80.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,人口あたりCO2排出量,49.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,"人口あたり再生可能エネルギー発電容量",57.5
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,環境政策指数,35.2
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,外水氾濫,57.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,高潮,56.3
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,土砂災害,20.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,地震動,44.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,津波,56.5
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,ハード対策,57.1
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,避難・救助,49.1
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,要配慮者支援,49.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,防災教育,42.2
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,防災まちづくり,39.4
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,情報・デジタル防災,46.4
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,人口あたり交通事故件数,53.4
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,人口あたり刑法犯認知件数,66.9
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,生活環境,空家率,
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,人口あたり自殺者数,37.4
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,拡大家族世帯割合,70.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,既婚者割合,79.5
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,高齢単身世帯割合,20.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,居住期間が20年以上の人口割合,80.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,祭りの数,44.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,自治会・町内会加入率,
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,人口あたり政治団体等の数,49.3
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,人口あたり宗教の事業所数,80.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,人口あたりNPOの数,64.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,人口あたり都市再生推進法人・UDC数,47.5
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,関係人口創出活動指数,47.9
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,議会の女性議員割合,28.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,自治体における管理職の女性割合,56.9
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,自治体職員における障害者の割合,39.5
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,人口あたり外国人人口,44.4
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,地域の人間関係,多様性政策指数,33.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,首長選挙の投票率,80.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,市区町村議会選挙の投票率,80.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,健康寿命（男性）,51.1
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,健康寿命（女性）,60.7
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,芸術家・著述家等割合,
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,国宝・重要文化財（建造物）数,47.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,日本遺産数,44.1
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,大卒・院卒者の割合,32.8
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,可住地面積あたり大学・短期大学数,46.4
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,可住地面積あたり私立・国立中高一貫校数,47.1
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,人口あたり生涯学習講座数,47.9
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,人口あたり生涯学習講座受講者数,47.4
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,人口あたり青少年教育施設利用者数,46.4
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,人口あたり女性教育施設利用者数,46.1
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,完全失業率,51.4
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,若年層完全失業率,40.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,正規雇用者比率,47.5
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,高齢者有業率,80.0
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,高卒者進路未定者率,25.4
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,市区町村内で従業している者の割合,54.9
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,創業比率,36.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,納税者あたり課税対象所得,38.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,"クリエイティブ産業事業所構成比",43.2
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,新規設立法人の割合,42.8
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,従業者数あたりコワーキングスペース数,79.6
2023年度版(令和5年度版),全国調査,"徳島県 神山町",客観データ,自分らしい生き方,大学発ベンチャー企業数,46.0
